ID,Full Address,Token,Predicted Tag
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,นายสมชาย,O
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,เข็มกลัด,O
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,254,ADDR
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,ถนน,ADDR
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,พญาไท,ADDR
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,แขวง,ADDR
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,วังใหม่,ADDR
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,เขต,ADDR
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,ปทุมวัน,LOC
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,กรุงเทพมหานคร,LOC
1,นายสมชาย เข็มกลัด 254 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,10330,POST
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,นางสาวสมหญิง,O
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,จันทร์ดี,O
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,98,ADDR
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,ถนน,ADDR
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,สุขุมวิท,ADDR
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,แขวง,ADDR
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,คลองตันเหนือ,ADDR
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,เขต,ADDR
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,วัฒนา,LOC
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,กรุงเทพมหานคร,LOC
2,นางสาวสมหญิง จันทร์ดี 98 ถนน สุขุมวิท แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,10110,POST
3,นายวิทยา ทองแท้ 45 ถนน สาธุประดิษฐ์ แขวง ช่องนนทรี เขต ยานนาวา กรุงเทพมหานคร 10120,นายวิทยา,O
3,นายวิทยา ทองแท้ 45 ถนน สาธุประดิษฐ์ แขวง ช่องนนทรี เขต ยานนาวา กรุงเทพมหานคร 10120,ทองแท้,O
3,นายวิทยา ทองแท้ 45 ถนน สาธุประดิษฐ์ แขวง ช่องนนทรี เขต ยานนาวา กรุงเทพมหานคร 10120,45,ADDR
3,นายวิทยา ทองแท้ 45 ถนน สาธุประดิษฐ์ แขวง ช่องนนทรี เขต ยานนาวา กรุงเทพมหานคร 10120,ถนน,ADDR
